,0
Gata1,0.664204011707537
Fli1,0.29785213322524884
Fog1,0.22645712046716543
Eklf,0.11400012817440196
Scl,0.0645786808375382
Gfi1,2.0838376524425604e-06
EgrNab,1.5730425039128255e-06
cJun,1.1874546542605682e-06
