gene,TARDBP,HNRNPR,ID3,PNRC2,ZNF593,LIN28A,HDAC1,ZNF326,CRABP2,NR5A2,KDM5B,ARID4B,MYCN,DNMT3A,CEBPZ,ZFP36L2,TCF7L1,EIF5B,NIFK,HES6,TADA3,CTNNB1,SKIL,FXR1,SOX2,ETV5,YTHDC1,JADE1,NAA15,HMGB2,IRX2,CENPK,PTTG1,PRPF4B,JARID2,TRIM27,POU5F1,PHF3,HMGN3,CITED2,MPLKIP,MCM7,DNAJC2,TRIM24,ZNF398,NONO,ZIC3,SOX3,MCM4,TCEA1,CHD7,PRDM14,RUNX1T1,MYC,MAF1,FOXH1,GTF3C5,NAP1L4,HTATIP2,DDB2,RSF1,ZNF22,JMJD1C,PDLIM1,MKI67,UTF1,VENTX,NANOG,GTF3A,TSC22D1,ZIC2,SALL2,MIS18BP1,CHURC1,ZFP36L1,SNW1,PAPOLA,RAD51,ZSCAN10,PLK1,MAZ,SOX15,ZNHIT3,MED1,ETV4,UBTF,KAT7,TRIM25,TGIF1,ZNF24,RBCK1,ID1,TOP1,SALL4,TCF3,CHAF1A,DNMT1,ILF3,NR2F6,ZNF90,ZNF649,PAXBP1,ETS2
TARDBP,0.0,-0.00030676122800611877,-0.001470182958532758,-0.00015017284093927016,0.00010519505859960416,0.0007030596431997094,-0.0003128606370471451,-5.3097504200854065e-05,-0.0011396562202401171,9.146089838860828e-05,-0.00010697705854263759,-0.00012328242674654942,0.00022593902152859147,0.0002150497493587772,0.0007323584694712436,0.0002811802242332687,0.0001271038327305027,7.570464775004144e-05,0.0005866098296150139,0.0001624228122363344,-0.00032460904327341746,-0.000926326140132384,0.00012332758645344706,0.00021737836051692925,0.0003418301173984808,-0.00038001086732423973,-7.653648080841485e-05,0.0011887197590746848,9.85013574101012e-05,-0.00042872868285166916,0.00023908887640933005,-0.00029417904731993117,0.00040975308005943673,-0.00022665930358371902,0.001674859184832442,1.5535970693277907e-05,-0.00029965112075082417,-0.0003623825978777098,-0.0004654254621186043,-0.0018929428447379694,-0.00011264021343972007,0.00035904701379384663,0.0002818643895805507,0.0005317390973858741,0.0003075124048888074,-0.00025618967888734286,4.422736543540883e-05,-0.0009184081121423884,0.00024580950445706894,0.00046496447123449945,-5.163747788494633e-05,0.0007066060910542688,-0.00018119712796926362,0.0008937625355997376,0.00014314250465899037,0.0017876757901824209,3.4997005247509e-06,2.3563977246201568e-05,1.6390647757197016e-05,3.835411757829589e-06,0.0002531547897625078,0.00012638514843294748,0.00011272989770398023,0.00048198079452428877,-0.00035360440093864463,0.0021378792551611328,0.00016737864639779495,0.0012499764070000373,0.0002517644700485449,-0.0005700167410318095,0.0002691172326996043,2.256079546719368e-05,8.791000428549793e-05,-1.1576517341496486e-05,-0.0001117822245888525,5.2360300567071036e-05,-0.0003524145619808419,0.00016500057554037686,0.0006155680628014866,1.1179266703099097e-05,0.00020471048961561027,5.034620011646706e-06,-2.1015561725661507e-05,6.150751129832316e-05,0.001256171940042557,0.00019761659346736272,0.0004743130790703767,8.01687177701454e-05,-0.0002819634702460023,-0.00026689406077036156,-5.731187048188798e-06,0.0007115545597831471,-0.0002026011895887042,0.00012564081130194714,-4.197763771398412e-05,0.00017292904865962047,0.0003105720638366081,-2.659677875690636e-05,0.0006226302847807493,0.00012769519023151597,0.000548693435415131,-0.00013099171820605318,0.0004024146579191059
HNRNPR,-0.0004152624122535319,0.0,0.004489780832825718,0.0016253042318909185,-0.0028941572102581044,-0.00757176433800879,0.0012742312058616845,0.00039632294073300105,-0.010692365856697687,-0.0005863756390752432,0.00046189192727508194,-0.0005543285760283659,-0.0014810317102666095,-0.00298852135009118,-0.005453958307198652,-0.006907755023607348,0.0026144053142053794,0.0008809697168179733,-0.0010675382555012385,0.0007440756261381696,0.0004541384213892938,0.005142748242351449,-0.0023713911898743693,6.233644168599515e-05,-0.004082195767367769,0.0014881621402198161,3.905429598929045e-05,-0.004450052150336376,-0.0008921767053233894,0.006956142143281324,-0.0028093012471429764,0.0005908220635898918,-0.00025114096236128697,0.001623202083387424,-0.011836495167529715,-0.0015036711639437844,0.0014586411950392889,0.0023337497667132653,-0.0015456395186095606,-0.006470278214293314,0.000616820202612703,-0.0017468517097648888,-0.0028449217734820877,-0.00011061616552753131,-0.0017031064329744113,0.0021857358142673305,-0.001918957047486631,-0.006274373927771764,-0.0011026165026933688,-0.0014216597395705233,0.00547348226411816,0.00843927489432909,-0.005869918136067388,-0.0068351776669782205,0.00010380875388536914,-0.0084344797587192,-0.0002765403138923039,0.0030250607395057682,-0.0004316965230980423,0.0007620144954411002,0.000654633215246861,-0.0010563923601663527,0.0004432573828709363,-0.01124316357237396,0.0017132044082854101,-0.019355359183358525,-0.0017674216980629617,-0.00524225770963289,-0.0015943490875614508,0.0015244866841924672,0.003054541841805241,7.156427767375809e-05,-0.0012739264519841624,-0.00012959732311440718,0.0024152000917661634,0.0013185664289881134,0.0003337201579911422,-0.000990475758461447,-0.004582555136153596,-0.000952816998204192,-0.0017952909706441741,-0.007656608111945887,0.0007348845442724044,-0.0009484608120450505,-0.008092326125419848,0.00047498072505020467,-0.00019781707155203956,-0.001347435462618963,0.008648746965985284,0.00290289990350845,0.0020979851408453112,-0.024515621151889322,0.0023334166735878635,-0.0016299028677566106,-0.0013813174523719556,-0.00011715485374985895,-0.0008067983675688479,0.0016941409280921877,0.0010892824153752,-0.0009198272006283671,-0.001708105642268695,3.592571005424372e-05,-0.0007325643969796899
ID3,-0.0012329374768754585,0.001901036625379973,0.0,0.002972229900429815,-0.0060407159974188605,-0.0036039511460261584,0.0001381968058486044,-0.0008044245899382672,0.028762622219568965,-0.002074101311318252,0.0020581964701149383,0.0018431689116591918,-0.008283172687577943,-0.006222158226982975,-0.015774113694445476,-0.01202896217099303,-0.0037365389805349564,-0.0037162242000806124,-0.015201905212551601,0.0007182855876923545,0.006946546445780607,0.022528888990284372,-0.0033785184767762674,-0.001957698240618338,-0.022545807973642307,0.0022116508507319843,-0.0024877986881201132,-0.021141507545464896,-0.006587333558966369,0.014275777459720201,-0.007113825131505792,0.0023414010122266298,-1.5370357514506627e-05,0.0017949543712861083,-0.040070928627904456,-0.005728154558216667,0.007377152488162821,0.002602893425254636,0.014716515611679717,0.046664259592453454,-0.0010605352596270653,-0.005511379928272069,-0.007935191685210674,-0.009341191676133787,-0.0029499616352687496,0.004043588132318762,-0.0019819349274734005,0.03627341351631843,-0.0065602450284844,-0.004248448990594744,0.01351330612947304,-0.009291303599613639,-0.004429292842164225,-0.02276608400840743,0.0033095853974143357,-0.04150288599189881,0.002065406671892298,-0.003818925522243799,-0.000176712311472964,-0.0045824341105355935,-0.0016094233657510972,0.0019966955944982984,-0.0040631661809596535,-0.023786328268256246,0.0113915776536555,-0.05336970714008704,-0.007953890044642257,-0.01468470230935083,-0.005505177793423886,0.009442141797768288,0.000812681997244016,0.005440708999086071,0.0012929497505481744,-0.00037445705919290364,0.01005059512211157,-0.0007395345061737623,0.00841575954655884,0.0004252473364820484,-0.007319267271740129,-0.0007183258667443339,-0.0035606658254747755,-0.0007727811881665089,0.0006692930547729046,-0.0021219307437455536,-0.017225273832238906,0.0004471564349318583,-0.0062449813142964865,-0.0019334975199416515,0.00044294187951796825,0.006093486539003248,0.003412208011933015,0.0016783303952056206,0.008244673593447572,-0.006384989781875628,-0.0002464160784622739,-0.005573185752160639,-0.003218087315910972,0.0009309679006315932,-0.010304803435533062,-0.002617656727229291,-0.006246717947778324,0.00035928121462439966,-0.0012702583067055926
PNRC2,-0.0001720411498082359,0.0014413710853924645,0.0038276016347321834,0.0,-0.0007469272832973301,-0.0010890325697418463,-3.125691249613925e-05,9.391682195261659e-05,-0.0020696222545893623,-0.00018087027823257223,-0.0002563588803974061,-0.00030696139910260623,-0.0007930531208795382,-0.0011769427461867138,-0.0014507056274783744,-0.002979297337490496,0.0005482306887240517,0.00013726929757155827,-0.000534254584967818,0.0008960992876247733,0.0004545257202627215,0.0020589394782108195,-0.0008923889051143243,0.00035033653542218036,-0.002595641084183774,0.00028562867704290846,-4.599943236958214e-05,-0.0020481571840831386,-0.00048681221455171877,0.0025087866494833545,-0.0012283296391470673,0.0002419590548388086,0.0006187095955289471,0.00043879950080508585,-0.004954972596060992,-0.0007637026694367635,0.0011904375383425833,0.0007905653408567535,0.0006626294150539436,-7.477529366080812e-05,0.00012422084365717174,-0.00021882766118943835,-0.0007430967377406647,0.0003898255753576359,-0.0005950254065558641,0.0006554155855313046,-0.000600389531256212,0.00019172795382765397,-0.00018448238639228113,0.00033938173268615625,0.0027439012987750446,0.0019243920180816846,-0.0008298691260120027,-0.002864726564337152,0.000759997037717704,-0.0035790591912882065,0.00041594573655948244,0.0008504679474161578,-0.00025618113271814866,-0.00028381319438338553,0.00013772521921302328,0.00013528207456296084,-0.00012595969658100824,-0.0037459381925697864,0.001327663341101124,-0.006775734378230694,-0.000688809138969866,-0.0014798084414343773,-0.0004778083832887872,0.0003467764027705366,0.0012885670774664484,0.0003655412451832928,0.00011247198299254942,1.039363389468314e-05,0.0008549606260241873,0.00028906601259652987,0.0008436337780060391,-0.00025440171031406735,-0.0012723453980270616,0.00028488314253357803,-0.000488781755862307,-0.002043860080438024,3.918504260923157e-05,1.863674086499204e-05,-0.0019606393536006745,0.00039987919308694445,0.00021159413291499727,-0.0004120578479123689,0.001835587213671462,0.0008745704364818228,0.0008633766705261773,-0.005422839536082809,0.0014418855946914991,-0.0008279099182655912,-0.0006365671050416154,-0.00023380135478184294,-0.0006765832120873136,0.000504772798980726,0.00018338812004633316,-0.00034542205078455,-0.0005503684552224058,8.39889846348082e-06,0.00011716066457090629
ZNF593,0.0001736465614881102,-0.0028649730772918776,-0.008267518143096666,-0.0007755397224393627,0.0,0.00203325741038941,-0.00013093118634413856,0.0001935332845941361,0.00052265970098051,0.0004358691898815628,-0.0010686992072119759,-0.0006665209072935224,0.001866860836399256,0.0018791517531664263,0.004171522678938848,0.004595472326330306,-0.000969056347698847,0.0001776015772423721,0.0029196950144830466,-1.2351606360984971e-05,-0.0008941944975828705,-0.004826281314296152,0.00039174800096072453,0.00044370498583567563,0.004657894140759679,-0.0006118344031099638,0.0005943333308335916,0.0028073164178363465,0.0012487297370103172,-0.004263022648220543,0.002081166564518007,-0.00013229254426641143,-0.00042776101648658025,-0.0005843124022056149,0.008074318428980614,0.0018696478590161233,-0.003199430640114975,-0.0007465402895529581,-0.0022564141132283316,-0.0031084085881348247,0.00011636279116383428,0.0016971338125995946,0.0026724851242286383,0.00029891904339429947,0.0004610846687626049,-0.0009886249568989904,0.000789086609415074,-0.0023390340109106793,0.0016226691085958914,0.00033569617861459357,-0.004078753379158844,-0.003743655521205718,0.002674563350724515,0.005541941814201648,-0.000657675508969651,0.007889123215566046,3.597186806139345e-05,-0.0003750479590019453,5.1459449509356146e-05,-0.00018120928306578727,-0.0010481461932010108,-0.00011781285603615173,-0.0003028950636496575,0.00684107271366185,-0.002143084679871845,0.012834064818225204,0.0017474746599699118,0.0018514713858549417,0.0016897607519560875,-0.0010843483805675171,-0.002051236497404176,-0.001315577748944609,0.0006081775643399132,0.0003966910006586992,-0.0031561182220281566,-0.00012547683890095862,-0.0009932722282885355,-1.0515285806716672e-05,0.001713756828703442,0.0008044575036417035,0.0014294901743626479,0.0024428103568016764,-0.0005716191207545886,0.0007853742190438551,0.003715856322498696,-0.00036544815577913524,0.00010930054190315881,0.0006423418676999814,-0.0031387351472167715,-0.001998846775099942,-0.0012945470364704493,0.005814615122868562,-0.0016533268765185716,0.0014047466758384834,0.0007549406960475943,0.00027721365683519534,0.00022016446088601356,-0.0008544817240255245,0.0006247551275554961,0.00022143264013017253,0.0005939716428306261,0.00030420499854786183,-0.0002994562514474705
LIN28A,0.0007818161226237224,-0.00760565094697684,-0.006582537939905098,-0.0014012838504381215,0.001878201186138759,0.0,-0.0018996772215805024,0.0008290207920827981,0.009456630614229421,0.0007331809691103528,-0.000768601824919652,0.0008078346455508092,0.00015858461374431812,0.0028052123995383482,0.007843739356241561,0.002508330723413225,-0.0006531309702879811,-0.000998578300965287,0.001677859406624132,-0.000516864355871288,-5.6648165894362474e-05,-0.00537784897276315,0.003576617979386964,-4.47864543723315e-05,0.000573239388117846,-0.0012714297821896062,-0.0012325344261284003,0.006508728932138366,0.0015448085257910567,-0.007998574173397176,0.0015080779781141659,-0.002281739306252362,0.0026185568755169456,-0.0019214514671243032,0.014442150866572585,0.0009328513437576606,0.0061464954690517125,-0.0027216615875598573,0.005084232325461208,0.0057349644712090435,-0.0012565701168718094,0.0034130311597285754,0.0020900053233592667,0.003079594754632508,0.00333917756128547,-0.0017520369881054477,0.0022282652324631955,0.0076346522210267425,0.0007288423288883314,0.005431917339228339,-0.005317588896570172,0.003508446770418689,-8.628848386107985e-05,0.0070127603456022584,0.0011900982415259883,0.00938947420417981,0.00036698483476671343,-0.0029723954653513495,-1.777745020687738e-05,0.0009450026845000928,0.0018814675191752607,0.0013263511404436534,0.0004568696144404904,0.015369574223109226,0.0005358368015917847,0.028768839760022452,0.0029179336138012222,0.008709517198635221,0.001324754226405832,-0.003447515176356755,-0.002348997278610533,-9.135673448238691e-06,-6.209119356741136e-07,-0.00045145562298576987,-0.005020634303548456,-0.0023982268898337005,0.00043423417899072895,0.0012274472925426362,0.00584856681569968,0.00222320257525731,0.0014668292677561018,0.009565379466846253,-0.0011091108120411875,0.0004590785978783455,0.013122188803474816,0.00038475748315778223,0.0027210676213251907,0.0020765607323586545,-0.012670887162789794,-0.003307802449449108,-0.00174187804704772,0.038626069099349306,-0.00133678863289692,0.00014237432788788266,0.0006629274607653824,0.0021816613499467162,0.0007530388566841659,-0.0021350888859742235,0.00023164591328734307,0.0018325387222499258,0.00375440008890106,-0.0002567624915893141,0.0027850683091836643
HDAC1,-0.0003377864326340448,0.0007246001152859676,0.001976427271232405,-7.183713797956707e-06,-8.722405610081921e-05,-0.0010217514347172947,0.0,0.0004406044331715034,0.00408732659713048,-0.00015543526826688488,0.0004489433005244844,0.0004156400624220099,-0.0005724268450481688,-2.429175426251603e-05,-0.0013780021160166636,7.138217123262413e-06,-0.00012984213088456498,-0.0003560595926791092,-0.001205873513447172,-0.0010831514714110446,0.0009130366664825433,0.0019814407828314556,-6.935591217020794e-05,-0.0009368882263848976,-0.00024253996929462504,0.0013646951189781285,0.00014105172994337249,-0.002919926509687669,0.00024907033053030435,9.018455177027238e-05,-0.0004104902811989316,0.0006454979969026466,-0.0016831780686994242,0.0006358144763687597,-0.002813176816714491,0.0005172325587828191,0.0015749264987755733,0.0008724422977695173,0.0010529046511396796,0.005852279807080537,0.00023942004916902942,-0.000681116134318671,-0.0005743791288513718,-0.0019074455644107675,-0.0005294378100088265,0.0008771498742325786,0.0001282343247900846,0.0029200676004826702,-0.000829256730094727,-0.0015027467675871621,-0.0013903774791001536,-0.0010487552942347158,-0.0009646228459119657,-0.001371096614047199,-0.0010464198205943859,-0.004244353847263251,-0.000397572246705678,-0.0003479212888099185,-4.918349607927889e-05,0.0006123211145377612,-0.0007790287072089228,-0.0007348332987714346,-0.0002988171149676357,0.0011884312455496247,0.0007820405493858897,-0.0022141938064579787,5.483954766817736e-05,-0.0037331249198016636,-0.0004576605808941915,0.0016133609486486307,-0.0018995374231529703,-0.000603133950079183,-0.0007751552141800502,3.35049574030902e-05,-0.001150538436541966,-0.0005133121245269318,0.0007270562147538678,-0.0005182546506334301,-0.0015508223072232485,-7.887001528990569e-05,-0.0003780386239298129,0.0009763159193997069,1.4090551972962285e-05,-0.0004796926238159374,-0.0029303812021716532,-0.0007721142083454021,-0.0014967606965874693,-4.8381105492053274e-05,-0.0004499686780834624,0.0004040703028397569,-0.0004436821907674911,0.0013353394387217714,8.196595208550118e-05,-0.00041472463219766064,0.0005021754876374015,-5.013497224251788e-05,-0.0006200684447244018,-0.00025886380028420026,-0.001924367125383287,-0.000232683005000454,-0.0014569991193872417,0.0005466074973812988,-0.0012581557417849008
ZNF326,-2.0953917674559644e-06,0.0001432605049024484,-0.0017030720434096551,6.374893483712905e-05,0.00036696261079409637,0.0014429745717231461,0.0003613379852737806,0.0,-4.3209734553942614e-05,-1.0561493966570519e-05,-0.0005310472048910376,-0.00024835985289370057,-9.253078096885993e-05,5.177419879705167e-05,0.00105530083947212,-0.0006693567449661848,0.00023075939300568158,5.002268362583227e-06,0.0007158883080834973,-5.844055900369538e-05,0.00015399342883868863,-0.00020971793635898956,-7.995367217725167e-05,-1.812558392971936e-06,-0.00025420611906626893,0.0003799198005930808,-9.724883478080804e-05,-0.00018702318496350466,0.0003960623361084187,-0.000672309714045664,-4.558700025971822e-05,-0.00026254548442976284,4.1005825020518e-05,2.490639237307668e-05,0.0005015449821984423,0.0004591740654472948,0.001201023016769777,0.00021316573813716144,0.00030684306384110347,-2.011395422173357e-05,-3.175355219362815e-05,0.0007040748389197432,0.00020578099114735437,4.227321551742096e-05,0.0001654071460362948,0.00035748342619368285,0.00012235746795023444,-0.00010295963401549232,6.63295961005874e-05,0.0005729157911844505,-0.0010953008858095,0.0028616783920109535,-0.002402584061744006,0.0005472355021855793,4.277809699915951e-06,0.00037376403392395935,7.015238187363317e-05,0.00010207089975523752,-0.00021971112395548987,0.0004775905740980223,4.461437077785914e-05,-0.0003943546525976239,-6.389164090499782e-05,0.001725196411987929,0.00047390816249456337,0.003256968882933306,0.0006400781498489837,-0.00033568882842307824,0.0001760918927845846,3.2651879752256256e-05,-0.0007215700014300579,-0.0005652745055983661,-0.0004958778630999731,-8.72425719137738e-06,-0.0018470698989218836,-0.00023971232299800177,0.0002125952102157218,-0.00020500968079359817,-0.00034412940809439946,0.0005718216930561068,7.114705617512404e-05,0.0006607071954070162,-0.0002319327453142813,-8.860585711409856e-05,0.00044712556275911414,-6.161745846202869e-05,9.910074869611094e-05,0.0002352746415493167,-0.0012700456951975742,-0.0002863917684915171,-0.00011583378787166784,0.0025412279971859402,0.00022211570653706784,-0.0003215309355874774,4.669551861647491e-05,0.0003843053027172165,-0.00026026719728593033,-0.0002551406865048111,7.969752370293931e-05,2.3856903392231996e-05,6.0092856830507275e-05,0.00029639500706706614,-0.0001541023379920528
CRABP2,-0.0007090185674866659,-0.01179414851564819,0.02296889228822563,-0.0028417712993158736,0.002221088121083843,0.00999700010306104,0.001585207143730375,0.00025146124736959716,0.0,-0.0007963913462877526,0.0022720035030641002,0.004326350790232642,-0.002414145199745376,0.00311266965851015,-0.0014715026678423315,0.010222606658244336,-0.009420807616585333,-0.00515876615058148,-0.011077472153986235,-0.006474714416785533,0.005147428357875856,0.006722750665016974,0.00401140520845645,-0.005333050081029242,-0.0020694254566098113,0.0023109325952132454,-0.0014673439281879949,-0.009183845922464018,-0.0015332637037498882,-0.008543391642221867,0.0021911194230841966,0.0011251557064815556,-0.005565507210954731,-0.0010662062633051937,-0.0023489264463177214,0.0015892124297934023,0.0025835184508590315,-0.0020401310725878105,0.014035155379196857,0.05692279800533903,-0.0012897481285112902,-0.0024901162807502595,-0.001153746655351901,-0.012542601535031799,0.0010068509379588702,-0.00041968223083757003,0.0034677855135647395,0.04085173116995052,-0.004633952672077404,-0.005317630326508905,-0.012271639904424808,-0.02232597996012189,0.004787520916340292,-0.0005422036879116417,-0.0023618082471640743,-0.015336445656248877,-0.0002020449874619212,-0.01094957646011046,0.0010763116244413894,-0.0017089947789019056,-0.003755712661088804,0.0002614566541024604,-0.0037939188872256617,0.013765643773055088,0.0033447167712284767,0.008084987448965953,-0.0003766439809555256,-0.006021147620233129,-0.0017275201369266694,0.007669605113963024,-0.012724090386784256,0.0009361011921706228,-0.00011474062114865961,-0.00024139614637473875,-0.002286208653980462,-0.004673467131218556,0.004499269856014457,0.0012375407379344413,0.0012144056932383602,-6.818592714681971e-05,0.00017336795899001932,0.02046342922346531,-0.0011168137268583167,-0.0015959851619916944,-0.0014181346120875214,-0.004015752866726706,-0.009040718181414666,0.0022679715777857317,-0.019786095186902584,-0.0018248785843877214,-0.004429942186487982,0.05780796210912997,-0.0020554660879556434,-9.313126975464729e-05,0.004935404215065353,-0.003049035984075346,-0.000809265943382056,-0.004088055616069636,-0.014362060987794445,3.9480469735169796e-05,-0.0036845789094026495,0.0015269038137651315,-0.0038370660046023594
NR5A2,7.391437910098979e-05,-0.0006194875730261637,-0.0014824510291734378,-0.00013484533429511026,0.0002523543514679294,0.0009342292249065869,-0.0001498025858460672,-0.00010664161247998911,-0.00038492997541984635,0.0,5.545469109220136e-05,2.141402439170846e-06,0.00016010519034505933,0.00041254540940009613,0.0006703196940650161,0.0005189548182888622,0.0003128943855595294,3.8983032633540214e-05,0.0005280773669296744,6.956759169653203e-05,-0.00012847340440879642,-0.0009107605328798116,0.00028178814763653147,9.872896323686964e-05,0.0005805020576646961,-0.00013468797480315433,6.592544885285602e-05,0.0007948645697277983,0.0003855705918466592,-0.0006689357025441723,8.840204056475935e-05,-2.8870363530994654e-05,0.00010121002194627093,-2.2034141282847996e-05,0.0018133170456526185,0.00023038783184402848,0.00045037268659396256,-0.00010520917012218843,-9.015931373868796e-05,-0.0008099341086259287,-7.095240707598629e-06,0.00032985567671701147,0.00043748066360776614,0.0006389341458511994,0.0002064166667601527,-0.00014424453675071088,0.00014787426182855492,-0.00042971466871927027,0.00028224415059300114,0.00038989909621701155,-0.00017428952206788808,-0.00048738229845030556,0.0010155819799004312,0.0008550658028763943,-0.00010761019903717043,0.001323937506534949,-0.00010905069390658725,5.8674269282188474e-05,2.524493749078445e-05,0.00015366597799000028,3.590166548024361e-05,0.00017944034393603317,0.00015540740649045887,0.0018660849211453309,-0.00022064529790019987,0.0026993839399814257,0.00033921509479568587,0.0005604863121450333,0.00028964961805037976,-0.0006035827969337237,-0.00011483197557148088,-0.00015266379761599917,0.00014009243516922075,3.791034333462923e-05,-0.0005031976247069731,-0.00014028357669805652,-6.763104655253714e-05,2.865173712772248e-06,0.0006236349566837599,0.0001701844043690162,0.0002457531129391396,0.0003420966070683188,-2.4651327541044012e-05,0.0001563853889397416,0.00122709749092968,0.00010195465150757495,0.00048002747538689625,6.430498126822293e-05,-0.0005993727772309473,-0.00031466659593190106,-0.00021022927308549078,0.002293852957573425,-0.0002465215846348929,9.513905736709534e-05,2.8409605910110315e-05,0.0003412250628197896,4.529649374165139e-05,-0.0001593581986720701,0.0002785987110785934,0.00019145449711819264,0.00028071378537596444,-4.725157023386373e-05,0.00032768369539659746
